rank,uid,profile,start_date,end_date,name,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,countries,editors,hashtags
1,18938833,https://www.openstreetmap.org/user/HyeinHong,2023-04-30 15:00:00+00:00,2023-05-31 15:00:00+00:00,HyeinHong,57.0,2916.0,2341.0,0.0,95.0,457.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,457.0,1.0,0.0,1.0,"Equatorial Guinea,Gabon,Malawi",iD 2.21.1,"#hotosm-project-14389,#missingmaps,#MangochiDistrict,#hotosm-project-14691,#msfk23,#msf,#hemorrhagicfeverGNQ,#msfk,#malawicholeraoutbreak"
2,17327267,https://www.openstreetmap.org/user/MarigoldC,2023-04-30 15:00:00+00:00,2023-05-31 15:00:00+00:00,MarigoldC,5.0,897.0,87.0,795.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,"Ethiopia,Libyan Arab Jamahiriya",iD 2.21.1,"#Soil,#hotosm-project-11607,#LNSDI,#Vegetation,#Water,#LandUseLandCover,#Infrastructure,#Buildings,#MapLibya,#borenadroughtmapping,#OSMEthiopia,#msfk,#StreetsRoads,#missingmaps,#Air,#MapTripoli,#msfk23,#LNDTI,#OSMGeoWeek,#hotosm-project-14391"
3,8379329,https://www.openstreetmap.org/user/Deuckchung,2023-04-30 15:00:00+00:00,2023-05-31 15:00:00+00:00,Deuckchung,9.0,541.0,440.0,30.0,2.0,18.0,30.0,21.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,14.0,28.0,"Zambia,Sudan","JOSM/1.5 (18721 en),JOSM/1.5 (18700 en)","#liga-zambia,#missingmaps,#sudanroads,#msfk23,#hotosm-project-10147,#msfk,#hotosm-project-14723"
4,18827794,https://www.openstreetmap.org/user/Doyeon%20Kim%2012,2023-04-30 15:00:00+00:00,2023-05-31 15:00:00+00:00,Doyeon Kim 12,7.0,458.0,355.0,20.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,"Democratic Republic of the Congo,Equatorial Guinea",iD 2.21.1,"#hotosm-project-14707,#missingmaps,#Kisangani,#msfk23,#msf,#hotosm-project-12803,#hemorrhagicfeverGNQ,#msfk,#2022DRC"
5,17675344,https://www.openstreetmap.org/user/Ad%20Meliora,2023-04-30 15:00:00+00:00,2023-05-31 15:00:00+00:00,Ad Meliora,3.0,389.0,327.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,Malawi,iD 2.21.1,"#hotosm-project-14389,#missingmaps,#MangochiDistrict,#msfk23,#msf,#msfk,#malawicholeraoutbreak"
6,19366997,https://www.openstreetmap.org/user/%ED%95%9C%EC%A7%80%EC%98%88,2023-04-30 15:00:00+00:00,2023-05-31 15:00:00+00:00,한지예,1.0,239.0,192.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,Zimbabwe,iD 2.21.1,"#gwanda,#missingmaps,#msfzimbabwe,#msfk23,#msf,#hotosm-project-13763,#msfk,#osmzimbabwe"
7,19367031,https://www.openstreetmap.org/user/%EC%84%9C%ED%98%84%EC%82%AC%EB%A7%88,2023-04-30 15:00:00+00:00,2023-05-31 15:00:00+00:00,서현사마,1.0,79.0,67.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,Malawi,iD 2.21.1,"#hotosm-project-14389,#missingmaps,#MangochiDistrict,#msfk23,#msf,#msfk,#malawicholeraoutbreak"
8,19290588,https://www.openstreetmap.org/user/BenBet,2023-04-30 15:00:00+00:00,2023-05-31 15:00:00+00:00,BenBet,1.0,69.0,29.0,8.0,23.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,Zimbabwe,iD 2.21.1,"#gwanda,#missingmaps,#msfzimbabwe,#msfk23,#msf,#hotosm-project-13763,#msfk,#osmzimbabwe"
9,19236827,https://www.openstreetmap.org/user/Erica%20Kim,2023-04-30 15:00:00+00:00,2023-05-31 15:00:00+00:00,Erica Kim,2.0,34.0,29.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,"Kenya,Rwanda",iD 2.21.1,"#RwandaFlood,#GESAN,#Naxa,#YouthMappers,#RwandaFloodandLandslides,#dmd,#msfk20,#MapRwanda,#RemoteMappingKenya,#WBR,#OSMNepal,#hotosm-project-12614,#EPFL,#NFL,#OSMRwanda,#RwandaLandslide,#msfk,#hotosm-project-14763"
10,19156293,https://www.openstreetmap.org/user/Yu%20Rian,2023-04-30 15:00:00+00:00,2023-05-31 15:00:00+00:00,Yu Rian,1.0,21.0,18.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,Rwanda,iD 2.21.1,"#RwandaFlood,#RwandaFloodandLandslides,#msfk23,#MapRwanda,#OSMRwanda,#RwandaLandslide,#msfk,#hotosm-project-14763"
11,18997209,https://www.openstreetmap.org/user/baejiye,2023-04-30 15:00:00+00:00,2023-05-31 15:00:00+00:00,baejiye,1.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Colombia,iD 2.21.1,"#msfk23,#Covid19,#QuedateEnTuCasa,#Mappers4Med,#msfk,#hotosm-project-8202"
